instances/test_1.txt,289
instances/test_10.txt,7
instances/test_11.txt,5
instances/test_12.txt,11
instances/test_13.txt,17
instances/test_14.txt,3
instances/test_15.txt,23
instances/test_16.txt,37
instances/test_17.txt,1
instances/test_18.txt,13
instances/test_19.txt,11
instances/test_2.txt,1
instances/test_20.txt,3
instances/test_21.txt,7
instances/test_22.txt,15
instances/test_23.txt,3
instances/test_24.txt,25
instances/test_25.txt,11
instances/test_26.txt,9
instances/test_27.txt,11
instances/test_28.txt,15
instances/test_29.txt,27
instances/test_3.txt,1
instances/test_30.txt,833
instances/test_31.txt,17
instances/test_32.txt,7
instances/test_33.txt,19
instances/test_34.txt,5
instances/test_35.txt,5
instances/test_36.txt,3
instances/test_37.txt,121
instances/test_38.txt,1
instances/test_39.txt,5
instances/test_4.txt,35
instances/test_40.txt,3
instances/test_41.txt,813
instances/test_42.txt,643
instances/test_43.txt,13
instances/test_44.txt,21
instances/test_45.txt,3
instances/test_46.txt,57
instances/test_47.txt,394857
instances/test_48.txt,9
instances/test_49.txt,13
instances/test_5.txt,11
instances/test_50.txt,25
instances/test_6.txt,5
instances/test_7.txt,3
instances/test_8.txt,541
instances/test_9.txt,1
